Book Titles,Sold Copies (in millions)
Don Quixote ,500
A Tale of Two Cities ,200
The Lord of the Rings ,150
The Little Prince ,150
The Hobbit ,150
Harry Potter and the Philosopher's Stone ,120
"The Lion, The Witch and the Wardrobe ",85
She: A History of Adventure ,83
The Adventures of Pinocchio ,80
The Da Vinci Code ,80
Harry Potter and the Chamber of Secrets ,77
Harry Potter and the Prisoner of Azkaban ,65
Harry Potter and the Goblet of Fire ,65
Harry Potter and the Order of the Phoenix ,65
Harry Potter and the Half-Blood Prince ,65
Harry Potter and the Deathly Hallows ,65
The Alchemist ,65
The Catcher in the Rye ,65
The Bridges of Madison County ,60
Ben-Hur: A Tale of the Christ ,50
One Hundred Years of Solitude ,50
Lolita ,50
Heidi ,50
Anne of Green Gables ,50
Black Beauty ,50
The Name of the Rose ,50
The Eagle Has Landed ,50
Watership Down ,50
Charlotte's Web ,50
The Ginger Man ,50
